NOM_SC;NOM_FR;COMMUNE;CODE_INSEE;DATE_OBS
Carduelis carduelis (Linnaeus, 1758);Chardonneret élégant;RUEIL MALMAISON;92063;1905-06-26
Columba livia Gmelin, 1789;Pigeon biset;RUEIL MALMAISON;92063;1905-06-26
Turdus philomelos C. L. Brehm, 1831;Grive musicienne;RUEIL MALMAISON;92063;1905-06-26
Columba livia Gmelin, 1789;Pigeon biset;RUEIL MALMAISON;92063;1905-06-29
Pieris rapae (Linnaeus, 1758);Piéride de la Rave (La), Petit Blanc du Chou (Le), Petite Piéride du Chou (La);RUEIL MALMAISON;92063;1905-06-29
Vanessa atalanta (Linnaeus, 1758);Vulcain (Le), Amiral (L'), Vanesse Vulcain (La), Chiffre (Le), Atalante (L');RUEIL MALMAISON;92063;1905-06-29
Actites hypoleucos (Linnaeus, 1758);Chevalier guignette;RUEIL MALMAISON;92063;1905-06-30
Phaneroptera falcata (Poda, 1761);Phanéroptère commun, Phanéroptère porte-faux, Phanéroptère en faulx, Phanéroptère en faux;RUEIL MALMAISON;92063;1905-06-30
Fringilla coelebs Linnaeus, 1758;Pinson des arbres;SEVRES;92072;1994-03-16
Turdus philomelos C. L. Brehm, 1831;Grive musicienne;MEUDON;92048;1994-03-16
Aphantopus hyperantus (Linnaeus, 1758);Tristan (Le);CHATENAY MALABRY;92019;1994-01-10
Ctenopharyngodon idella (Cuvier et Valenciennes, 1844) (doublon);Amour blanc;GENNEVILLIERS;92036;1994-10-15
Emberiza schoeniclus (Linnaeus, 1758);Bruant des roseaux;GENNEVILLIERS;92036;1994-10-15
Larus canus Linnaeus, 1758;Goéland cendré;GENNEVILLIERS;92036;1994-10-15
Rutilus rutilus (Linnaeus, 1758);Gardon;GENNEVILLIERS;92036;1994-10-15
Actites hypoleucos (Linnaeus, 1758);Chevalier guignette;NANTERRE;92050;1995-01-11
Aglais urticae (Linnaeus, 1758);Petite Tortue (La), Vanesse de l'Ortie (La), Petit-Renard (Le);NANTERRE;92050;1995-01-11
Anas platyrhynchos Linnaeus, 1758;Canard colvert;NANTERRE;92050;1995-01-11
Apis mellifera Linnaeus, 1758;;NANTERRE;92050;1995-01-11
Bombus pascuorum (Scopoli, 1763);;NANTERRE;92050;1995-01-11
Carduelis cannabina (Linnaeus, 1758);Linotte mélodieuse;NANTERRE;92050;1995-01-11
Celastrina argiolus (Linnaeus, 1758);Azuré des Nerpruns (L'), Argus à bande noire (L'), Argus bordé (L'), Argiolus (L');NANTERRE;92050;1995-01-11
Euclidia glyphica (Linnaeus, 1758);;NANTERRE;92050;1995-01-11
Palomena viridissima (Poda, 1761);;NANTERRE;92050;1995-01-11
Pararge aegeria (Linnaeus, 1758);Tircis (Le), Argus des Bois (L'), Égérie (L');NANTERRE;92050;1995-01-11
Phalacrocorax carbo (Linnaeus, 1758);Grand Cormoran;NANTERRE;92050;1995-01-11
Pica pica (Linnaeus, 1758);Pie bavarde;NANTERRE;92050;1995-01-11
Sylvia communis Latham, 1787;Fauvette grisette;NANTERRE;92050;1995-01-11
Sylvia curruca (Linnaeus, 1758);Fauvette babillarde;NANTERRE;92050;1995-01-11
Tettigonia viridissima (Linnaeus, 1758);Grande Sauterelle verte, Sauterelle verte (des prés),  Tettigonie verte, Sauterelle à coutelas;NANTERRE;92050;1995-01-11
Vespula vulgaris (Linnaeus, 1758);;NANTERRE;92050;1995-01-11
Dendrocopos major (Linnaeus, 1758);Pic épeiche;LE PLESSIS ROBINSON;92060;1997-03-21
Erithacus rubecula (Linnaeus, 1758);Rougegorge familier;LE PLESSIS ROBINSON;92060;1997-03-21
Garrulus glandarius (Linnaeus, 1758);Geai des chênes;LE PLESSIS ROBINSON;92060;1997-03-21
Sylvia atricapilla (Linnaeus, 1758);Fauvette à tête noire;LE PLESSIS ROBINSON;92060;1997-03-21
Turdus merula Linnaeus, 1758;Merle noir;LE PLESSIS ROBINSON;92060;1997-03-21
Dendrocopos major (Linnaeus, 1758);Pic épeiche;CHATENAY MALABRY;92019;1998-05-15
Phoenicurus ochruros (S. G. Gmelin, 1774);Rougequeue noir;CHATENAY MALABRY;92019;1998-05-15
Phylloscopus trochilus (Linnaeus, 1758);Pouillot fitis;CHATENAY MALABRY;92019;1998-05-15
Sylvia communis Latham, 1787;Fauvette grisette;CHATENAY MALABRY;92019;1998-05-15
Turdus philomelos C. L. Brehm, 1831;Grive musicienne;CHATENAY MALABRY;92019;1998-05-15
Chloris chloris (Linnaeus, 1758);Verdier d'Europe;FONTENAY AUX ROSES;92032;1998-08-18
